,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,614,Spain,Female,40,3,113348.5,1,1,1,77789.01,0
1,758,France,Female,34,1,154139.45,1,1,1,60728.89,0
2,541,Germany,Female,39,9,100116.67,1,1,1,199808.1,1
3,481,France,NotSpecified,37,8,152303.66,2,1,1,175082.2,0
4,711,France,Female,37,8,113899.92,1,0,0,80215.2,0
5,640,France,Male,63,2,68432.45,2,1,1,112503.24,1
6,681,France,Male,36,5,141952.07,1,1,1,185144.08,0
7,666,Germany,Male,74,7,105102.5,1,1,1,46172.47,0
8,670,France,Female,42,6,112333.63,1,1,1,65706.86,0
9,505,Spain,NotSpecified,37,5,134006.39,1,1,1,93736.69,0
10,612,France,Female,42,10,75497.51,1,0,0,149682.78,0
11,670,Germany,Male,40,2,164948.98,3,0,0,177028.0,1
12,527,Spain,Female,46,10,131414.76,1,1,0,54947.51,0
13,823,France,Male,34,3,105057.33,1,1,0,100117.00934116702,0
14,808,Spain,Male,47,8,139196.0,1,0,1,74028.36,0
15,736,Spain,Female,28,2,0.0,2,1,1,117431.1,0
16,644,France,Male,50,9,76817.0,4,1,0,196371.13,1
17,662,France,Female,38,2,96479.81,1,1,0,120259.41,0
18,755,Germany,Male,43,6,165048.5,3,1,0,16929.41,1
19,835,France,Female,56,2,0.0,2,1,1,39820.13,0
20,574,Spain,Male,34,5,0.0,2,0,0,28269.86,0
21,617,Spain,Female,36,7,115617.24,1,1,1,71519.4,0
22,668,Spain,Male,45,4,102486.21,2,1,1,158379.25,0
23,603,France,Female,34,9,0.0,2,1,0,167916.35,0
24,850,Spain,Male,54,7,108185.81,2,0,0,24093.4,1
25,566,Germany,Female,44,5,141428.99,2,0,0,68408.74,0
26,645,Spain,Male,49,8,0.0,2,1,0,162012.6,0
27,552,Germany,Female,42,8,103362.14,1,0,1,186869.58,1
28,688,Spain,Male,42,5,0.0,2,0,0,197602.29,0
29,642,Spain,Female,33,9,0.0,2,1,1,150475.14,0
30,588,Germany,Female,40,10,125534.51,1,1,0,121504.18,1
31,606,Spain,Male,38,7,128578.52,1,1,1,193878.51,0
32,691,France,Male,52,3,0.0,1,1,0,175843.68,1
33,466,France,Male,40,4,91592.06,1,1,0,141210.18,1
34,645,Germany,Male,49,4,160133.88,1,0,1,88391.97,0
35,477,Spain,Male,31,9,0.0,2,0,1,184061.17,0
36,629,Spain,Male,34,8,0.0,2,1,1,180595.02,0
37,595,Germany,Female,64,2,105736.32,1,1,1,89935.73,1
38,642,Germany,Female,39,8,128264.03,1,1,0,61792.76,1
